track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,chute_indicator,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5,target_ml_rank_minus_finish,target_top5_ml_rank_gt4,target_deep_closer_top5
PIM,2017-05-20,11,2,HEDGE FUND,3,BON,,,88,85,81,,97,-1,-9,90,GP,,,,,,,,,,52,1870,,MdSpWt,b,02-04-17 Hustled start; duel; shook free1/4p; pulled away,1,104.95,4.00,,1,0.50,0.50,2,23.83,48.36,23.83,73.44,48.36,,73.44,98.55,0,3,CASTELLANO J J,1,1,9,2.10,9,,46000,MdSpWt,20170204,,3,S,,,0.13,0.13,2,1.75,BIG DOLLAR BILL,113,80,1.50,1.50,2,,2.50,,1,D,3.75,PRINCE TITO,120,GP,FT,14,PLETCHER TODD A,Duel;lead1/4p;pull awy,120,4.00,HEDGE FUND,120,4,1.1,2017,0,1,-3.0,0,0
PIM,2017-05-20,11,2,HEDGE FUND,4,AON,,,83,83,,,76,2,-1,69,GP,,,,,,,,,,,1320,,MdSpWt,,12-14-16 Brushed start; 3wd turn; no threat,1,70.74,10.50,10.50,5,5.50,5.50,6,22.5,45.65,22.50,57.87,45.65,57.87,,,0,6,CASTELLANO J J,1,5,8,1.00,4,,42000,MdSpWt,20161214,,7,S,,,6.00,6.00,5,4.00,GO BEEJA,120,77,,,6,,9.00,9.00,6,D,2.25,GEMOLOGISTER,120,GP,FT,16,PLETCHER TODD A,Brushed st;3wd turn,120,3.00,QUINIENTOS,120,4,1.1,2017,0,1,-3.0,0,0
PIM,2017-05-20,11,3,GREEK PRINCE,1,BON,,,85,78,79,,94,2,0,86,LRL,,,,,,,,,,14,-1870,,PrivatTrmB100k,b,03-18-17 No speed; 4 wide turns; passed tiring rivals;,0,105.68,4.25,4.25,5,5.50,5.50,7,24.11,48.97,24.11,74.08,48.97,,74.08,99.19,1,4,HAMILTON S D,1,5,7,28.70,7,,100000,PrivatTrmB100k,20170318,Private Terms S.,9,N,,,6.25,6.25,7,0.50,O DIONYSUS,122,79,5.50,5.50,6,,7.50,7.50,5,D,3.25,DHARMASTER,117,LRL,FT,18,ANDREADAKIS GEORGIA,4wd turns; by-faders,116,0.06,TWISTED TOM,118,7,78.9,2017,0,0,2.0,0,0
PIM,2017-05-20,11,3,GREEK PRINCE,2,BON,,,89,93,92,,83,8,6,86,LRL,,,,,,,,,,28,1760,,OC50000NW1X,b,03-04-17 Keen outside foe;clear 3wd 1/4;met bid;drift in;headed;resurgent,0,98.14,0.25,,1,0.13,,1,23.95,47.2,23.95,72.47,47.20,,72.47,,1,5,DAVIS KATIE,1,1,8,13.00,3,,42000,OC50000n1x,20170304,,8,AO,,,1.50,,1,7.00,GOLD BRAID,118,87,0.50,0.50,2,,0.13,,1,D,1.25,PARADE OF NATIONS,118,LRL,FT,16,ANDREADAKIS GEORGIA,Vied 3w;drft;resurgent,118,0.25,GREEK PRINCE,118,7,78.9,2017,0,0,2.0,0,0
PIM,2017-05-20,11,3,GREEK PRINCE,3,BON,02-04-17 Nicely rated between;move clear 1/4;assert self;drew off;driving,,94,97,,,64,4,8,75,LRL,,,,,,,,,35000,20,1540,,Md40000,b,02-04-17 Nicely rated between;move clear 1/4;assert self;drew off;driving,0,86.32,6.50,,1,0.13,0.13,2,23.31,46.85,23.31,72.73,46.85,,72.73,,1,3,HAMILTON S D,1,1,6,7.30,3,,33000,Md40000,20170204,,4,M,,,0.50,,1,0.75,TENNESSEE WILDCAT,122,78,,,3,,4.50,,1,D,0.06,BIG CITY BLUES,122,LRL,FT,17,ANDREADAKIS GEORGIA,Vied 3-2w bw;widn;drvg,118,6.50,GREEK PRINCE,118,7,78.9,2017,0,0,2.0,0,0
PIM,2017-05-20,11,3,GREEK PRINCE,4,BON,,,72,82,,,73,6,3,70,LRL,,,,,,,,,25000,15,1540,,Md25000,b,01-15-17 Pinched back start; rail turn; swung 5-path 1/4; flattened out;,0,86.58,6.25,6.25,3,12.00,12.00,5,22.75,46.98,22.75,73.17,46.98,,73.17,,1,8,HAMILTON S D,1,3,8,14.10,5,,27000,Md25000,20170115,,9,M,,s,6.50,6.50,4,4.75,PUNCH NEPHEW,122,71,,,8,,6.50,6.50,4,D,6.50,GREEK PRINCE,122,LRL,MY,23,ANDREADAKIS GEORGIA,Pinched start;5wd 1/4,122,1.50,KEY MONO,112,7,78.9,2017,0,0,2.0,0,0
PIM,2017-05-20,11,3,GREEK PRINCE,5,AON,12-31-16 2 wide turn; angled 5-path upper stretch; passed tiring rivals;,,68,68,,,76,1,-4,56,LRL,,,,,,,,,25000,62,1320,,Md25000,b,12-31-16 2 wide turn; angled 5-path upper stretch; passed tiring rivals;,0,72.77,10.25,10.25,5,11.00,11.00,10,23.41,47.85,23.41,60.29,47.85,60.29,,,1,9,HAMILTON S D,1,5,10,72.00,7,,27000,Md25000,20161231,,9,M,,,8.25,8.25,8,1.75,FLANKENSTEIN,122,69,,,9,,8.50,8.50,7,D,2.50,GODLOVESASINNER,122,LRL,FT,8,ANDREADAKIS GEORGIA,5wd 3/16; by-faders,122,0.25,EL MANUT,122,7,78.9,2017,0,0,2.0,0,0
PIM,2017-05-20,11,3,GREEK PRINCE,6,AON,10-30-16 5wd nearing 1/2 pole; failed to menace,5,86,65,,,75,9,6,50,LRL,,,,,,,,,25000,,1210,,Md25000,b,10-30-16 5wd nearing 1/2 pole; failed to menace,0,66.71,11.50,11.50,8,5.75,5.75,8,22.74,47.05,22.74,59.96,47.05,59.96,,,0,8,THORPE DARIUS,1,8,10,61.00,9,,27000,Md25000,20161030,,6,M,,,11.00,11.00,8,0.50,BEARCAT KITTEN,122,67,,,8,,14.00,14.00,9,D,1.00,JUST TREY,118,LRL,FT,16,ANDREADAKIS GEORGIA,5wd 1/2; no factor,117,0.50,Z SUPREME,118,7,78.9,2017,0,0,2.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,1,BON,,,70,79,83,,85,3,4,86,KEE,,,,,,,,,,56,1980,,Alw72000NW1X,,04-15-17 Unhurried inside; moved up; angled out; struck lead; cleared,0,113.07,2.50,,1,4.25,4.25,8,48.78,73.76,24.12,99.72,48.78,,73.76,99.72,0,5,ALBARADO R J,1,1,10,5.00,1,,72000,Alw71933n1x,20170415,,5,A,,,3.25,3.25,8,1.25,UPPER ROOM,118,73,10.00,10.00,10,,1.00,,1,D,0.75,EASTPORT,123,KEE,FT,19,HOWARD NEIL J,Weaved thru; cleared,118,2.50,SOCIETY BEAU,118,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,2,BON,,,62,68,74,,98,5,4,86,FG,,,,,,,,,,22,1830,,OC50000NW1X,,02-18-17 2-3w1st turn;settled;3wide 2nd turn;2path 1/4;rallied;just missed,0,103.55,0.13,0.13,2,11.00,11.00,7,24.09,47.76,24.09,72.83,47.76,,72.83,99.30,0,7,GRAHAM J,1,2,8,3.30,4,,43000,OC50000n1x,20170218,,10,AO,,,8.00,8.00,5,0.75,SOCIETY BEAU,118,91,14.00,14.00,7,,4.00,4.00,5,D,0.50,HOLLYWOOD HANDSOME,120,FG,FT,10,HOWARD NEIL J,2-3wide turns;rallied,118,0.13,TOTAL TAP,118,6,19.9,2017,0,0,-1.0,0,0
